Test 9 | Seed 2379 | Reward 10.0
Test 10 | Seed 136 | Reward 8.0
Test 11 | Seed 2927 | Reward 9.0
Test 12 | Seed 167 | Reward 10.0
Test 13 | Seed 925 | Reward 9.0
Test 14 | Seed 1638 | Reward 9.0
Test 15 | Seed 826 | Reward 8.0
Test 16 | Seed 1181 | Reward 10.0
Test 17 | Seed 2977 | Reward 9.0
Test 18 | Seed 2396 | Reward 10.0
Test 19 | Seed 314 | Reward 10.0
Test 20 | Seed 1700 | Reward 10.0
Test 21 | Seed 2565 | Reward 9.0
Test 22 | Seed 2612 | Reward 10.0
Test 23 | Seed 2454 | Reward 9.0
Test 24 | Seed 2926 | Reward 10.0
Test 25 | Seed 605 | Reward 10.0
Test 26 | Seed 351 | Reward 10.0
Test 27 | Seed 58 | Reward 10.0
Test 28 | Seed 532 | Reward 10.0
Test 29 | Seed 86 | Reward 8.0
Test 30 | Seed 690 | Reward 10.0
Test 31 | Seed 499 | Reward 9.0
Test 32 | Seed 450 | Reward 9.0
Test 33 | Seed 1781 | Reward 10.0
Test 34 | Seed 2577 | Reward 10.0
Test 35 | Seed 16 | Reward 8.0
Test 36 | Seed 2373 | Reward 10.0
Test 37 | Seed 2598 | Reward 10.0
Test 38 | Seed 1961 | Reward 10.0
Test 39 | Seed 2315 | Reward 9.0
Test 40 | Seed 1514 | Reward 10.0
Test 41 | Seed 2277 | Reward 10.0
Test 42 | Seed 1962 | Reward 8.0
Test 43 | Seed 2952 | Reward 10.0
Test 44 | Seed 420 | Reward 11.0
Test 45 | Seed 2661 | Reward 9.0
Test 46 | Seed 2081 | Reward 9.0
Test 47 | Seed 1422 | Reward 8.0
Test 48 | Seed 926 | Reward 11.0
Test 49 | Seed 876 | Reward 9.0
Test 50 | Seed 1271 | Reward 10.0
Test 51 | Seed 1699 | Reward 9.0
Test 52 | Seed 1626 | Reward 10.0
Test 53 | Seed 1650 | Reward 10.0
Test 54 | Seed 1661 | Reward 10.0
Test 55 | Seed 849 | Reward 9.0
Test 56 | Seed 1444 | Reward 10.0
Test 57 | Seed 350 | Reward 10.0
Test 58 | Seed 802 | Reward 10.0
Test 59 | Seed 2676 | Reward 10.0
Test 60 | Seed 2083 | Reward 10.0
Test 61 | Seed 1488 | Reward 10.0
Test 62 | Seed 1956 | Reward 9.0
Test 63 | Seed 1558 | Reward 10.0
Test 64 | Seed 62 | Reward 9.0
Test 65 | Seed 2154 | Reward 9.0
Test 66 | Seed 243 | Reward 10.0
Test 67 | Seed 1678 | Reward 9.0
Test 68 | Seed 2786 | Reward 9.0
Test 69 | Seed 1075 | Reward 9.0
Test 70 | Seed 1996 | Reward 11.0
Test 71 | Seed 1821 | Reward 10.0
Test 72 | Seed 2899 | Reward 10.0
Test 73 | Seed 2370 | Reward 10.0
Test 74 | Seed 2271 | Reward 10.0
Test 75 | Seed 51 | Reward 9.0
Test 76 | Seed 1422 | Reward 8.0
Test 77 | Seed 2693 | Reward 10.0
Test 78 | Seed 992 | Reward 10.0
Test 79 | Seed 402 | Reward 10.0
Test 80 | Seed 1487 | Reward 9.0
Test 81 | Seed 1182 | Reward 9.0
Test 82 | Seed 2284 | Reward 9.0
Test 83 | Seed 864 | Reward 9.0
Test 84 | Seed 214 | Reward 8.0
Test 85 | Seed 1880 | Reward 10.0
Test 86 | Seed 532 | Reward 10.0
Test 87 | Seed 1778 | Reward 10.0
Test 88 | Seed 2051 | Reward 9.0
Test 89 | Seed 2472 | Reward 9.0
Test 90 | Seed 2239 | Reward 9.0
Test 91 | Seed 2073 | Reward 9.0
Test 92 | Seed 1372 | Reward 10.0
Test 93 | Seed 1842 | Reward 10.0
Test 94 | Seed 1286 | Reward 11.0
Test 95 | Seed 1874 | Reward 9.0
Test 96 | Seed 2658 | Reward 9.0
Test 97 | Seed 59 | Reward 10.0
Test 98 | Seed 344 | Reward 10.0
Test 99 | Seed 1337 | Reward 10.0
Test 100 | Seed 430 | Reward 10.0

Mean Test Reward: 9.5
Std Reward: 0.714142842854285
9.5
3,Test 1 | Seed 2919 | Reward 8.0
Test 2 | Seed 429 | Reward 8.0
Test 3 | Seed 2241 | Reward 10.0
Test 4 | Seed 1807 | Reward 10.0
Test 5 | Seed 2946 | Reward 10.0
Test 6 | Seed 790 | Reward 8.0
Test 7 | Seed 1952 | Reward 9.0
Test 8 | Seed 1265 | Reward 10.0
Test 9 | Seed 67 | Reward 10.0
Test 10 | Seed 920 | Reward 10.0
Test 11 | Seed 2702 | Reward 9.0
Test 12 | Seed 2287 | Reward 9.0
Test 13 | Seed 2140 | Reward 10.0
Test 14 | Seed 140 | Reward 10.0
Test 15 | Seed 2016 | Reward 8.0
Test 16 | Seed 2639 | Reward 8.0
Test 17 | Seed 1559 | Reward 10.0
Test 18 | Seed 1040 | Reward 9.0
Test 19 | Seed 2571 | Reward 8.0
Test 20 | Seed 415 | Reward 9.0
Test 21 | Seed 302 | Reward 9.0
Test 22 | Seed 2596 | Reward 10.0
Test 23 | Seed 1040 | Reward 9.0
Test 24 | Seed 854 | Reward 9.0
Test 25 | Seed 116 | Reward 10.0
Test 26 | Seed 2547 | Reward 10.0
Test 27 | Seed 1953 | Reward 10.0
Test 28 | Seed 138 | Reward 9.0
Test 29 | Seed 53 | Reward 9.0
Test 30 | Seed 352 | Reward 8.0
Test 31 | Seed 1877 | Reward 9.0
Test 32 | Seed 2308 | Reward 9.0
Test 33 | Seed 1000 | Reward 10.0
Test 34 | Seed 1000 | Reward 10.0
Test 35 | Seed 550 | Reward 9.0
Test 36 | Seed 759 | Reward 9.0
Test 37 | Seed 950 | Reward 10.0
Test 38 | Seed 1873 | Reward 10.0
Test 39 | Seed 1675 | Reward 9.0
Test 40 | Seed 1459 | Reward 9.0
Test 41 | Seed 182 | Reward 9.0
Test 42 | Seed 636 | Reward 10.0
Test 43 | Seed 1275 | Reward 10.0
Test 44 | Seed 1658 | Reward 8.0
Test 45 | Seed 1873 | Reward 10.0
Test 46 | Seed 841 | Reward 11.0
Test 47 | Seed 1270 | Reward 9.0
Test 48 | Seed 436 | Reward 10.0
Test 49 | Seed 1329 | Reward 9.0
Test 50 | Seed 572 | Reward 10.0
Test 51 | Seed 1552 | Reward 10.0
Test 52 | Seed 223 | Reward 10.0
Test 53 | Seed 389 | Reward 10.0
Test 54 | Seed 580 | Reward 10.0
Test 55 | Seed 2061 | Reward 10.0
Test 56 | Seed 1267 | Reward 9.0
Test 57 | Seed 2390 | Reward 9.0
Test 58 | Seed 2784 | Reward 9.0
Test 59 | Seed 1300 | Reward 8.0
Test 60 | Seed 1912 | Reward 10.0
Test 61 | Seed 2527 | Reward 10.0
Test 62 | Seed 348 | Reward 9.0
Test 63 | Seed 2316 | Reward 10.0
Test 64 | Seed 1127 | Reward 10.0
Test 65 | Seed 1255 | Reward 9.0
Test 66 | Seed 2895 | Reward 10.0
Test 67 | Seed 1822 | Reward 10.0
Test 68 | Seed 1400 | Reward 10.0
Test 69 | Seed 1594 | Reward 10.0
Test 70 | Seed 1411 | Reward 10.0
Test 71 | Seed 1717 | Reward 11.0
Test 72 | Seed 2883 | Reward 9.0
Test 73 | Seed 1863 | Reward 11.0
Test 74 | Seed 614 | Reward 9.0
Test 75 | Seed 916 | Reward 9.0
Test 76 | Seed 663 | Reward 10.0
Test 77 | Seed 133 | Reward 8.0
Test 78 | Seed 2267 | Reward 9.0
Test 79 | Seed 1329 | Reward 9.0
Test 80 | Seed 1487 | Reward 9.0
Test 81 | Seed 1120 | Reward 10.0
Test 82 | Seed 2959 | Reward 10.0
Test 83 | Seed 261 | Reward 10.0
Test 84 | Seed 1132 | Reward 9.0
Test 85 | Seed 1586 | Reward 9.0
Test 86 | Seed 2708 | Reward 9.0
Test 87 | Seed 2188 | Reward 10.0
Test 88 | Seed 2269 | Reward 11.0
Test 89 | Seed 1112 | Reward 8.0
Test 90 | Seed 2710 | Reward 10.0
Test 91 | Seed 726 | Reward 9.0
Test 92 | Seed 346 | Reward 9.0
Test 93 | Seed 1246 | Reward 10.0
Test 94 | Seed 2862 | Reward 10.0
Test 95 | Seed 2977 | Reward 9.0
Test 96 | Seed 2285 | Reward 10.0
Test 97 | Seed 896 | Reward 10.0
Test 98 | Seed 200 | Reward 9.0
Test 99 | Seed 1020 | Reward 9.0
Test 100 | Seed 1453 | Reward 8.0

Mean Test Reward: 9.42
Std Reward: 0.7507329751649384
9.42
4,Test 1 | Seed 703 | Reward 9.0
Test 2 | Seed 2735 | Reward 9.0
Test 3 | Seed 2625 | Reward 9.0
Test 4 | Seed 1932 | Reward 9.0
Test 5 | Seed 1443 | Reward 10.0
Test 6 | Seed 2027 | Reward 10.0
Test 7 | Seed 1135 | Reward 9.0
Test 8 | Seed 634 | Reward 9.0
Test 9 | Seed 1179 | Reward 10.0
Test 10 | Seed 2178 | Reward 8.0
Test 11 | Seed 2414 | Reward 10.0
Test 12 | Seed 1535 | Reward 9.0
Test 13 | Seed 488 | Reward 8.0
Test 14 | Seed 624 | Reward 10.0
Test 15 | Seed 2271 | Reward 10.0
Test 16 | Seed 2078 | Reward 10.0
Test 17 | Seed 1712 | Reward 9.0
Test 18 | Seed 1181 | Reward 10.0
Test 19 | Seed 2346 | Reward 11.0
Test 20 | Seed 327 | Reward 8.0
Test 21 | Seed 136 | Reward 8.0
Test 22 | Seed 767 | Reward 9.0
Test 23 | Seed 554 | Reward 9.0
Test 24 | Seed 381 | Reward 9.0
Test 25 | Seed 2694 | Reward 9.0
Test 26 | Seed 1795 | Reward 9.0
Test 27 | Seed 330 | Reward 10.0
Test 28 | Seed 2928 | Reward 9.0
Test 29 | Seed 489 | Reward 10.0
Test 30 | Seed 1504 | Reward 9.0
Test 31 | Seed 719 | Reward 9.0
Test 32 | Seed 428 | Reward 9.0
Test 33 | Seed 813 | Reward 8.0
Test 34 | Seed 1323 | Reward 10.0
Test 35 | Seed 2262 | Reward 10.0
Test 36 | Seed 2626 | Reward 8.0
Test 37 | Seed 356 | Reward 9.0
Test 38 | Seed 1338 | Reward 9.0
Test 39 | Seed 2250 | Reward 9.0
Test 40 | Seed 98 | Reward 10.0
Test 41 | Seed 2535 | Reward 10.0
Test 42 | Seed 530 | Reward 10.0
Test 43 | Seed 2759 | Reward 10.0
Test 44 | Seed 1323 | Reward 10.0
Test 45 | Seed 2545 | Reward 10.0
Test 46 | Seed 2244 | Reward 9.0
Test 47 | Seed 1834 | Reward 8.0
Test 48 | Seed 1704 | Reward 10.0
Test 49 | Seed 2450 | Reward 10.0
Test 50 | Seed 2301 | Reward 8.0
Test 51 | Seed 2715 | Reward 10.0
Test 52 | Seed 1695 | Reward 10.0
Test 53 | Seed 1066 | Reward 9.0
Test 54 | Seed 2339 | Reward 8.0
Test 55 | Seed 2019 | Reward 9.0
Test 56 | Seed 1317 | Reward 8.0
Test 57 | Seed 1125 | Reward 10.0
Test 58 | Seed 2679 | Reward 10.0
Test 59 | Seed 1786 | Reward 9.0
Test 60 | Seed 1076 | Reward 10.0
Test 61 | Seed 495 | Reward 11.0
Test 62 | Seed 2732 | Reward 9.0
Test 63 | Seed 2640 | Reward 8.0
Test 64 | Seed 1695 | Reward 10.0
Test 65 | Seed 1817 | Reward 9.0
Test 66 | Seed 1824 | Reward 10.0
Test 67 | Seed 851 | Reward 10.0
Test 68 | Seed 2435 | Reward 9.0
Test 69 | Seed 2323 | Reward 9.0
Test 70 | Seed 318 | Reward 8.0
Test 71 | Seed 2810 | Reward 9.0
Test 72 | Seed 228 | Reward 9.0
Test 73 | Seed 101 | Reward 9.0
Test 74 | Seed 2099 | Reward 11.0
Test 75 | Seed 1063 | Reward 9.0
Test 76 | Seed 929 | Reward 10.0
Test 77 | Seed 2546 | Reward 10.0
Test 78 | Seed 2900 | Reward 9.0
Test 79 | Seed 2373 | Reward 10.0
Test 80 | Seed 200 | Reward 9.0
Test 81 | Seed 2773 | Reward 9.0
Test 82 | Seed 322 | Reward 10.0
Test 83 | Seed 1418 | Reward 9.0
Test 84 | Seed 2434 | Reward 9.0
Test 85 | Seed 1082 | Reward 10.0
Test 86 | Seed 1687 | Reward 10.0
Test 87 | Seed 1609 | Reward 9.0
Test 88 | Seed 2468 | Reward 10.0
Test 89 | Seed 2587 | Reward 10.0
Test 90 | Seed 2547 | Reward 10.0
Test 91 | Seed 2584 | Reward 9.0
Test 92 | Seed 1673 | Reward 9.0
Test 93 | Seed 2018 | Reward 8.0
Test 94 | Seed 2161 | Reward 9.0
Test 95 | Seed 1248 | Reward 10.0
Test 96 | Seed 79 | Reward 9.0
Test 97 | Seed 1886 | Reward 10.0
Test 98 | Seed 1768 | Reward 10.0
Test 99 | Seed 1104 | Reward 10.0
Test 100 | Seed 2714 | Reward 9.0

Mean Test Reward: 9.34
Std Reward: 0.7378346698278687
9.34
5,Test 1 | Seed 1229 | Reward 9.0
Test 2 | Seed 573 | Reward 10.0
Test 3 | Seed 1909 | Reward 8.0
Test 4 | Seed 1495 | Reward 9.0
Test 5 | Seed 423 | Reward 9.0
Test 6 | Seed 1996 | Reward 11.0
Test 7 | Seed 1227 | Reward 10.0
Test 8 | Seed 1698 | Reward 9.0
Test 9 | Seed 601 | Reward 9.0
Test 10 | Seed 84 | Reward 9.0
Test 11 | Seed 1609 | Reward 9.0
Test 12 | Seed 2165 | Reward 9.0
Test 13 | Seed 1733 | Reward 10.0
Test 14 | Seed 2794 | Reward 9.0
Test 15 | Seed 2751 | Reward 9.0
Test 16 | Seed 234 | Reward 9.0
Test 17 | Seed 2853 | Reward 10.0
Test 18 | Seed 341 | Reward 9.0
Test 19 | Seed 490 | Reward 9.0
Test 20 | Seed 1322 | Reward 10.0
Test 21 | Seed 561 | Reward 8.0
Test 22 | Seed 1236 | Reward 10.0
Test 23 | Seed 1830 | Reward 9.0
Test 24 | Seed 2220 | Reward 10.0
Test 25 | Seed 1482 | Reward 11.0
Test 26 | Seed 2826 | Reward 10.0
Test 27 | Seed 1216 | Reward 10.0
Test 28 | Seed 1115 | Reward 8.0
Test 29 | Seed 2260 | Reward 10.0
Test 30 | Seed 713 | Reward 9.0
Test 31 | Seed 457 | Reward 9.0
Test 32 | Seed 140 | Reward 10.0
Test 33 | Seed 1699 | Reward 9.0
Test 34 | Seed 464 | Reward 8.0
Test 35 | Seed 2069 | Reward 9.0
Test 36 | Seed 2002 | Reward 10.0
Test 37 | Seed 2054 | Reward 10.0
Test 38 | Seed 1224 | Reward 10.0
Test 39 | Seed 1927 | Reward 8.0
Test 40 | Seed 501 | Reward 10.0
Test 41 | Seed 1513 | Reward 9.0
Test 42 | Seed 635 | Reward 9.0
Test 43 | Seed 74 | Reward 10.0
Test 44 | Seed 258 | Reward 9.0
Test 45 | Seed 2253 | Reward 9.0
Test 46 | Seed 713 | Reward 9.0
Test 47 | Seed 918 | Reward 9.0
Test 48 | Seed 382 | Reward 10.0
Test 49 | Seed 785 | Reward 9.0
Test 50 | Seed 342 | Reward 9.0
Test 51 | Seed 1179 | Reward 10.0
Test 52 | Seed 528 | Reward 10.0
Test 53 | Seed 2754 | Reward 10.0
Test 54 | Seed 2383 | Reward 9.0
Test 55 | Seed 402 | Reward 10.0
Test 56 | Seed 1978 | Reward 10.0
Test 57 | Seed 1149 | Reward 10.0
Test 58 | Seed 210 | Reward 10.0
Test 59 | Seed 1094 | Reward 9.0
Test 60 | Seed 2021 | Reward 10.0
Test 61 | Seed 2715 | Reward 10.0
Test 62 | Seed 1047 | Reward 10.0
Test 63 | Seed 288 | Reward 10.0
Test 64 | Seed 153 | Reward 10.0
Test 65 | Seed 2769 | Reward 10.0
Test 66 | Seed 2494 | Reward 9.0
Test 67 | Seed 163 | Reward 10.0
Test 68 | Seed 1673 | Reward 9.0
Test 69 | Seed 2022 | Reward 10.0
Test 70 | Seed 754 | Reward 10.0
Test 71 | Seed 2729 | Reward 9.0
Test 72 | Seed 1438 | Reward 9.0
Test 73 | Seed 2501 | Reward 10.0
Test 74 | Seed 2576 | Reward 9.0
Test 75 | Seed 2687 | Reward 10.0
Test 76 | Seed 2753 | Reward 10.0
Test 77 | Seed 2508 | Reward 10.0
Test 78 | Seed 231 | Reward 9.0
Test 79 | Seed 2997 | Reward 10.0
Test 80 | Seed 1632 | Reward 10.0
Test 81 | Seed 1523 | Reward 10.0
Test 82 | Seed 1296 | Reward 10.0
Test 83 | Seed 2166 | Reward 8.0
Test 84 | Seed 1703 | Reward 9.0
Test 85 | Seed 2847 | Reward 10.0
Test 86 | Seed 2471 | Reward 9.0
Test 87 | Seed 2789 | Reward 9.0
Test 88 | Seed 2047 | Reward 8.0
Test 89 | Seed 82 | Reward 10.0
Test 90 | Seed 1756 | Reward 10.0
Test 91 | Seed 867 | Reward 9.0
Test 92 | Seed 1545 | Reward 9.0
Test 93 | Seed 1069 | Reward 9.0
Test 94 | Seed 2499 | Reward 10.0
Test 95 | Seed 1790 | Reward 9.0
Test 96 | Seed 467 | Reward 9.0
Test 97 | Seed 1626 | Reward 10.0
Test 98 | Seed 2185 | Reward 9.0
Test 99 | Seed 2164 | Reward 9.0
Test 100 | Seed 527 | Reward 8.0

Mean Test Reward: 9.42
Std Reward: 0.6660330322138686
9.42
6,Test 1 | Seed 2172 | Reward 9.0
Test 2 | Seed 380 | Reward 9.0
Test 3 | Seed 1749 | Reward 10.0
Test 4 | Seed 2702 | Reward 9.0
Test 5 | Seed 2224 | Reward 10.0
Test 6 | Seed 1760 | Reward 8.0
Test 7 | Seed 948 | Reward 9.0
Test 8 | Seed 2953 | Reward 9.0
Test 9 | Seed 838 | Reward 9.0
Test 10 | Seed 1868 | Reward 10.0
Test 11 | Seed 2463 | Reward 9.0
Test 12 | Seed 2538 | Reward 9.0
Test 13 | Seed 331 | Reward 9.0
Test 14 | Seed 1140 | Reward 9.0
Test 15 | Seed 2135 | Reward 9.0
Test 16 | Seed 1432 | Reward 8.0
Test 17 | Seed 1313 | Reward 10.0
Test 18 | Seed 1143 | Reward 10.0
Test 19 | Seed 1577 | Reward 9.0
Test 20 | Seed 2955 | Reward 9.0
Test 21 | Seed 2811 | Reward 8.0
Test 22 | Seed 634 | Reward 9.0
